a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
akonadi 21.04.1-1
akonadi-calendar 21.04.1-1
akonadi-calendar-tools 21.04.1-1
akonadi-contacts 21.04.1-1
akonadi-import-wizard 21.04.1-1
akonadi-mime 21.04.1-1
akonadi-notes 21.04.1-1
akonadi-search 21.04.1-1
akonadiconsole 21.04.1-1
akregator 21.04.1-1
alsa-card-profiles 1:0.3.28-1
alsa-lib 1.2.4-3
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
analitza 21.04.1-1
aom 3.1.0-1
appstream 0.14.3-1
appstream-qt 0.14.3-1
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-appstream-data 20210423-1
archlinux-keyring 20210110-1
argon2 20190702-3
ark 21.04.1-1
artikulate 21.04.1-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.1-1
atk 2.36.0-1
attica 5.82.0-1
attr 2.5.1-1
audiocd-kio 21.04.1-1
audit 3.0.1-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
awesome-terminal-fonts 1.1.0-4
baloo 5.82.0-1
baloo-widgets 21.04.1-1
base 2-2
bash 5.1.008-1
bat 0.18.1-1
biber 1:2.15-2
binutils 2.36.1-3
bison 3.7.6-1
blas 3.9.1-1
bluedevil 1:5.21.5-1
bluez 5.58-1
bluez-libs 5.58-1
bluez-qt 5.82.0-1
bolt 0.9.1-1
boost-libs 1.75.0-3
botan 2.18.1-1
bpytop 1.0.66-1
breeze 5.21.5-1
breeze-gtk 5.21.5-1
breeze-icons 5.82.0-1
brotli 1.0.9-4
btrfs-progs 5.12.1-1
bzip2 1.0.8-4
ca-certificates 20181109-4
ca-certificates-mozilla 3.66-1
ca-certificates-utils 20181109-4
cairo 1.17.4-5
calendarsupport 21.04.1-1
cantarell-fonts 1:0.301-1
ccache 4.3-1
cdparanoia 10.2-8
cfitsio 1:3.49-1
chromaprint 1.5.0-3
chromium 91.0.4472.77-1
cifs-utils 6.13-2
clang 11.1.0-1
colord 1.4.5-1
compiler-rt 11.1.0-1
convertlit 1.8-10
coreutils 8.32-1
cronie 1.5.7-2
cryptsetup 2.3.6-1
curl 7.77.0-1
dav1d 0.9.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-1
dconf 0.40.0-1
ddcutil 1.1.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
dhcpcd 9.4.0-1
diffutils 3.7-3
discord 0.0.15-1
discount 2.2.7-1
discover 5.21.5-1
djvulibre 3.5.28-3
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dolphin 21.04.1-1
dolphin-plugins 21.04.1-1
dosfstools 4.2-1
double-conversion 3.1.5-2
dragon 21.04.1-1
drkonqi 5.21.5-1
e2fsprogs 1.46.2-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.4-1
efibootmgr 17-2
efivar 37-4
elfutils 0.184-1
elisa 21.04.1-1
enchant 2.2.15-2
eventviews 21.04.1-1
exiv2 0.27.3-1
expat 2.4.1-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-2
farstream 0.2.9-2
ffmpeg 2:4.4-3
ffmpegthumbs 21.04.1-1
fftw 3.3.9-1
file 5.40-5
filelight 21.04.1-1
filesystem 2021.05.31-1
filezilla 3.54.1-2
findutils 4.8.0-1
firefox-developer-edition 89.0b15-1
flac 1.3.3-3
flex 2.6.4-3
fluidsynth 2.1.8-1
fontconfig 2:2.13.93-4
frameworkintegration 5.82.0-1
freetype2 2.10.4-1
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
fzf 0.27.1-1
gavl 1.4.0-5
gawk 5.1.0-1
gc 8.0.4-4
gcc 11.1.0-1
gcc-libs 11.1.0-1
gd 2.3.2-2
gdb 10.2-2
gdb-common 10.2-2
gdbm 1.19-2
gdk-pixbuf2 2.42.6-1
gettext 0.21-1
ghostscript 9.54.0-2
giflib 5.2.1-2
git 2.31.1-1
glib-networking 1:2.68.1-1
glib2 2.68.2-1
glibc 2.33-5
glslang 11.4.0-1
glu 9.0.1-2
gmp 6.2.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.27-1
gnutls 3.7.2-1
go 2:1.16.4-1
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.7-1
grantlee 5.2.0-3
grantlee-editor 21.04.1-1
grantleetheme 21.04.1-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.04-10
gsettings-desktop-schemas 40.0-3
gsm 1.0.19-1
gssdp 1.2.3-1
gst-plugins-bad 1.18.4-7
gst-plugins-bad-libs 1.18.4-7
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gstreamer 1.18.4-1
gtk-update-icon-cache 1:4.2.1-1
gtk2 2.24.33-2
gtk3 1:3.24.29-1
gtkspell 2.0.16-8
guile 2.2.7-1
gumbo-parser 0.10.1-2
gupnp 1.2.6-1
gupnp-igd 1.2.0-1
gwenview 21.04.1-1
gzip 1.10-3
harfbuzz 2.8.1-1
harfbuzz-icu 2.8.1-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
htop 3.0.5-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20201207-1
hwloc 2.4.1-1
hyphen 2.8.8-3
iana-etc 20210202-1
icu 69.1-1
ijs 0.35-3
imagemagick 7.0.11.14-1
imath 3.0.4-1
imlib2 1.7.1-1
incidenceeditor 21.04.1-1
iproute2 5.12.0-1
iptables 1:1.8.7-1
iputils 20210202-1
ipython 7.24.0-1
